Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
regulation of microtubule-based process (GO:0032886)	4/36	1.2024972675248203E-4	0.07237760170211399	0	0	17.958333333333332	162.0908377535185	GSK3B;MACF1;PRKAA2;PHLDB2
positive regulation of cellular protein localization (GO:1903829)	5/71	1.5022122042577645E-4	0.07237760170211399	0	0	10.944481309444813	96.34866369596679	GSK3B;PRKAA2;TFRC;SYT11;SLC5A3
positive regulation of protein metabolic process (GO:0051247)	6/115	1.7183834162947246E-4	0.07237760170211399	0	0	7.99338909875877	69.29434156424709	CD86;GSK3B;CSF1;CD80;GBA;BCL10
pulmonary valve morphogenesis (GO:0003184)	3/17	2.215075798075409E-4	0.07237760170211399	0	0	30.591983556012334	257.43318590363435	NOTCH2;HEYL;GJA5
negative regulation of neurotransmitter secretion (GO:0046929)	2/7	0.001026907557672912	0.2375302688264337	0	0	56.722857142857144	390.3215153922277	RAP1A;SYT11
positive regulation of viral genome replication (GO:0045070)	3/29	0.0011183560885178656	0.2375302688264337	0	0	16.462645268400664	111.87841607491086	PPIE;PKN2;TMEM39A
negative regulation of regulated secretory pathway (GO:1903306)	2/8	0.0013628397612813203	0.2375302688264337	0	0	47.266666666666666	311.874196651513	RAP1A;STXBP3
regulation of cell morphogenesis (GO:0022604)	3/32	0.0014946590132675721	0.2375302688264337	0	0	14.757380302654429	96.00940864318952	NTNG1;MACF1;ZMYM6
positive regulation of organelle organization (GO:0010638)	3/33	0.0016356330676648072	0.2375302688264337	0	0	14.264748201438849	91.51870667909093	GSK3B;SYNJ1;ELAPOR1
negative regulation of T cell proliferation (GO:0042130)	3/35	0.0019418938700388935	0.24625479026064903	0	0	13.371852517985612	83.49507145489338	CD86;CD80;VTCN1
regulation of T cell proliferation (GO:0042129)	4/76	0.0021036183876158706	0.24625479026064903	0	0	7.965378421900161	49.09936025804358	CD86;TFRC;CD80;VTCN1
regulation of microtubule cytoskeleton organization (GO:0070507)	3/37	0.002281624080299188	0.24625479026064903	0	0	12.584003385526872	76.54682865759655	GSK3B;PRKAA2;PHLDB2
Notch signaling involved in heart development (GO:0061314)	2/11	0.002639852672460511	0.24625479026064903	0	0	31.506349206349206	187.05420877426414	NOTCH2;HEYL
negative regulation of lymphocyte proliferation (GO:0050672)	3/39	0.002656023482621135	0.24625479026064903	0	0	11.883693045563549	70.48129462499752	CD86;CD80;VTCN1
negative regulation of calcineurin-mediated signaling (GO:0106057)	2/12	0.0031531149028135217	0.24625479026064903	0	0	28.354285714285716	163.30266533816052	GSK3B;RCAN1
negative regulation of calcineurin-NFAT signaling cascade (GO:0070885)	2/12	0.0031531149028135217	0.24625479026064903	0	0	28.354285714285716	163.30266533816052	GSK3B;RCAN1
negative regulation of T cell activation (GO:0050868)	3/45	0.003998193371367544	0.24625479026064903	0	0	10.182939362795478	56.229301957033236	CD86;CD80;VTCN1
atrial septum development (GO:0003283)	2/14	0.00430723167559448	0.24625479026064903	0	0	23.626190476190477	128.702724827896	NOTCH2;GJA5
atrioventricular valve development (GO:0003171)	2/14	0.00430723167559448	0.24625479026064903	0	0	23.626190476190477	128.702724827896	HEYL;GJA5
regulation of cell projection organization (GO:0031344)	2/14	0.00430723167559448	0.24625479026064903	0	0	23.626190476190477	128.702724827896	NTNG1;MACF1
positive regulation of macrophage chemotaxis (GO:0010759)	2/14	0.00430723167559448	0.24625479026064903	0	0	23.626190476190477	128.702724827896	AKIRIN1;CSF1
positive regulation of T-helper cell differentiation (GO:0045624)	2/14	0.00430723167559448	0.24625479026064903	0	0	23.626190476190477	128.702724827896	CD86;CD80
regulation of protein localization to nucleus (GO:1900180)	3/47	0.004521893623760961	0.24625479026064903	0	0	9.719097449313276	52.47170074262968	GSK3B;TFRC;OTUD7B
epithelial to mesenchymal transition (GO:0001837)	3/47	0.004521893623760961	0.24625479026064903	0	0	9.719097449313276	52.47170074262968	GSK3B;HEYL;S100A4
