Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
apical junction complex (GO:0043296)	5/98	0.0039053755766299612	0.4789498668677099	0	0	5.11531868474365	28.366494996424507	DLG1;CLDN8;CGN;F11R;NECTIN3
bicellular tight junction (GO:0005923)	4/78	0.009503410391796375	0.4789498668677099	0	0	5.123180873180873	23.854065805784952	DLG1;CLDN8;CGN;F11R
tight junction (GO:0070160)	4/85	0.012742792985574961	0.4789498668677099	0	0	4.678774928774929	20.41250977292574	DLG1;CLDN8;CGN;F11R
cell-cell junction (GO:0005911)	7/271	0.025835166766729124	0.4789498668677099	0	0	2.525277161862528	9.232460430981675	DLG1;GJA5;MAGI3;F11R;PLPP3;PAK2;NECTIN3
ficolin-1-rich granule lumen (GO:1904813)	4/123	0.04204773588346913	0.4789498668677099	0	0	3.1785714285714284	10.072733094037211	AGL;PPIE;CCT8;ILF2
intercalated disc (GO:0014704)	2/31	0.042522020870896536	0.4789498668677099	0	0	6.488998357963875	20.49052554384947	DLG1;GJA5
Cul4-RING E3 ubiquitin ligase complex (GO:0080008)	2/34	0.05025841343735695	0.4789498668677099	0	0	5.879761904761905	17.583882566859184	GLMN;DCAF6
Barr body (GO:0001740)	1/5	0.05189308685736502	0.4789498668677099	0	0	23.44075829383886	69.3511172071374	LRIF1
MPP7-DLG1-LIN7 complex (GO:0097025)	1/5	0.05189308685736502	0.4789498668677099	0	0	23.44075829383886	69.3511172071374	DLG1
CD95 death-inducing signaling complex (GO:0031265)	1/5	0.05189308685736502	0.4789498668677099	0	0	23.44075829383886	69.3511172071374	FAF1
piP-body (GO:0071547)	1/5	0.05189308685736502	0.4789498668677099	0	0	23.44075829383886	69.3511172071374	TDRKH
HULC complex (GO:0033503)	1/5	0.05189308685736502	0.4789498668677099	0	0	23.44075829383886	69.3511172071374	UBE2U
axon (GO:0030424)	5/204	0.06647850265291234	0.4789498668677099	0	0	2.3777098050639673	6.445677995684443	GSK3B;KCNA3;ELAVL4;NCDN;CD200
pi-body (GO:0071546)	1/7	0.07189185201931281	0.4789498668677099	0	0	15.625592417061611	41.135814974954755	TDRKH
X chromosome (GO:0000805)	1/7	0.07189185201931281	0.4789498668677099	0	0	15.625592417061611	41.135814974954755	LRIF1
mitochondrial respiratory chain complex I (GO:0005747)	2/42	0.07304576780339808	0.4789498668677099	0	0	4.701904761904762	12.303328798542719	NDUFS5;NDUFA10
respiratory chain complex I (GO:0045271)	2/42	0.07304576780339808	0.4789498668677099	0	0	4.701904761904762	12.303328798542719	NDUFS5;NDUFA10
