Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
interferon receptor activity (GO:0004904)	2/5	5.075389505379983E-4	0.03760471950563672	0	0	93.20657276995306	707.0591983548046	IFNAR2;IFNAR1
NAADP-sensitive calcium-release channel activity (GO:0072345)	2/5	5.075389505379983E-4	0.03760471950563672	0	0	93.20657276995306	707.0591983548046	MCOLN3;MCOLN2
cadherin binding (GO:0045296)	9/322	5.525404248830733E-4	0.03760471950563672	0	0	4.162513312034079	31.222945587019662	SH3GLB1;MACF1;DLG1;CAPZA1;SERBP1;CCT8;F11R;PHLDB2;CNN3
cysteine-type peptidase activity (GO:0008234)	5/98	7.162803715359376E-4	0.03760471950563672	0	0	7.64407828575849	55.3541257560093	USP16;CTSK;ATG4C;OTUD7B;USP40
guanyl-nucleotide exchange factor activity (GO:0005085)	5/149	0.0045067917277549574	0.18928525256570822	0	0	4.924060751398881	26.6006120244784	VAV3;RAP1A;DENND4B;ITSN1;LAMTOR2
potassium channel regulator activity (GO:0015459)	3/50	0.005594801308547839	0.19023586810664322	0	0	8.967406066093256	46.504227600937675	DLG1;AMIGO1;SLC5A3
calcium-release channel activity (GO:0015278)	2/17	0.006522344646023044	0.19023586810664322	0	0	18.630046948356807	93.75610919425641	MCOLN3;MCOLN2
thiol-dependent deubiquitinase (GO:0004843)	4/106	0.007263115596264315	0.19023586810664322	0	0	5.533333333333333	27.25137006180125	USP16;OTUD7B;USP40;MYSM1
deubiquitinase activity (GO:0101005)	4/112	0.008786272370011046	0.19023586810664322	0	0	5.224338624338625	24.734969406407544	USP16;OTUD7B;USP40;MYSM1
omega peptidase activity (GO:0008242)	4/113	0.009058850862221106	0.19023586810664322	0	0	5.176146788990826	24.348661802770422	USP16;OTUD7B;USP40;MYSM1
poly(A) binding (GO:0008143)	2/22	0.01082113406862944	0.19212667368295805	0	0	13.969014084507043	63.227308653074246	PABPC4;PPIE
RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	5/190	0.012220826023966137	0.19212667368295805	0	0	3.824810421932724	16.84681250465308	GSK3B;JUN;TAL1;ARNT;BCL10
GDP binding (GO:0019003)	3/67	0.012516169569894752	0.19212667368295805	0	0	6.579787234042553	28.824297023971248	NRAS;RIT1;RAP1A
protein phosphatase 2A binding (GO:0051721)	2/24	0.012808444912197204	0.19212667368295805	0	0	12.697823303457106	55.33267691589696	SMG5;CTTNBP2NL
NF-kappaB binding (GO:0051059)	2/25	0.013857139668764335	0.19399995536270068	0	0	12.14513165952235	51.96846794915384	GSK3B;BCL10
poly-purine tract binding (GO:0070717)	2/28	0.01721655419339674	0.22596727378833223	0	0	10.742145178764897	43.63334660593152	PABPC4;PPIE
kinase binding (GO:0019900)	8/461	0.018629791253837683	0.23013271548858316	0	0	2.51954291650435	10.035322553662652	IFNAR2;GSK3B;DLG1;CDKN2C;TFRC;GADD45A;PIP5K1A;BCL10
GTPase activator activity (GO:0005096)	6/336	0.034939725409839514	0.23132335876515778	0	0	2.5725955204216073	8.628821956430919	VAV3;JUN;RAP1A;DENND4B;ITSN1;LAMTOR2
leukotriene-C4 synthase activity (GO:0004464)	1/5	0.03548861536845943	0.23132335876515778	0	0	34.70629370629371	115.86846528512848	MGST3
cAMP-dependent protein kinase activity (GO:0004691)	1/5	0.03548861536845943	0.23132335876515778	0	0	34.70629370629371	115.86846528512848	PRKACB
oxidoreductase activity, acting on metal ions, NAD or NADP as acceptor (GO:0016723)	1/5	0.03548861536845943	0.23132335876515778	0	0	34.70629370629371	115.86846528512848	MMACHC
polyol transmembrane transporter activity (GO:0015166)	1/5	0.03548861536845943	0.23132335876515778	0	0	34.70629370629371	115.86846528512848	SLC5A3
gap junction channel activity involved in cardiac conduction electrical coupling (GO:0086075)	1/5	0.03548861536845943	0.23132335876515778	0	0	34.70629370629371	115.86846528512848	GJA5
DNA-binding transcription repressor activity, RNA polymerase II-specific (GO:0001227)	5/256	0.03797063378539958	0.23132335876515778	0	0	2.8096248101120698	9.1901203944723	HEYL;JUN;ZFP69;ZBTB20;ZNF148
cysteine-type endopeptidase activity (GO:0004197)	3/105	0.04026417251346516	0.23132335876515778	0	0	4.120567375886525	13.236470664546191	USP16;CTSK;USP40
1-phosphatidylinositol-4-phosphate 5-kinase activity (GO:0016308)	1/6	0.042434814389666786	0.23132335876515778	0	0	27.763636363636362	87.72715392092086	PIP5K1A
sodium ion binding (GO:0031402)	1/6	0.042434814389666786	0.23132335876515778	0	0	27.763636363636362	87.72715392092086	ATP1A1
ubiquinol-cytochrome-c reductase activity (GO:0008121)	1/6	0.042434814389666786	0.23132335876515778	0	0	27.763636363636362	87.72715392092086	UQCRH
